date,warehouse_id,product_id,units_demanded,units_fulfilled,stockout_flag,ending_inventory
2024-01-01,WH-EAST,PRD-0020,27,27,0,273
2024-01-02,WH-EAST,PRD-0020,16,16,0,257
2024-01-03,WH-EAST,PRD-0020,14,14,0,243
2024-01-04,WH-EAST,PRD-0020,25,25,0,218
2024-01-05,WH-EAST,PRD-0020,10,10,0,208
2024-01-06,WH-EAST,PRD-0020,11,11,0,197
2024-01-07,WH-EAST,PRD-0020,20,20,0,177
2024-01-08,WH-EAST,PRD-0020,14,14,0,163
2024-01-09,WH-EAST,PRD-0020,17,17,0,146
2024-01-10,WH-EAST,PRD-0020,16,16,0,130
2024-01-11,WH-EAST,PRD-0020,25,25,0,105
2024-01-12,WH-EAST,PRD-0020,17,17,0,88
2024-01-13,WH-EAST,PRD-0020,20,20,0,68
2024-01-14,WH-EAST,PRD-0020,5,5,0,63
2024-01-15,WH-EAST,PRD-0020,16,16,0,47
2024-01-16,WH-EAST,PRD-0020,12,12,0,35
2024-01-17,WH-EAST,PRD-0020,10,10,0,25
2024-01-18,WH-EAST,PRD-0020,12,12,0,13
2024-01-19,WH-EAST,PRD-0020,15,13,1,0
2024-01-20,WH-EAST,PRD-0020,22,0,1,0
2024-01-21,WH-EAST,PRD-0020,9,0,1,0
2024-01-22,WH-EAST,PRD-0020,17,0,1,0
2024-01-23,WH-EAST,PRD-0020,14,0,1,0
2024-01-24,WH-EAST,PRD-0020,15,0,1,0
2024-01-25,WH-EAST,PRD-0020,23,0,1,0
2024-01-26,WH-EAST,PRD-0020,20,0,1,0
2024-01-27,WH-EAST,PRD-0020,25,0,1,0
2024-01-28,WH-EAST,PRD-0020,16,0,1,0
2024-01-29,WH-EAST,PRD-0020,13,0,1,0
2024-01-30,WH-EAST,PRD-0020,15,0,1,0
2024-01-31,WH-EAST,PRD-0020,18,0,1,0
2024-02-01,WH-EAST,PRD-0020,14,0,1,0
2024-02-02,WH-EAST,PRD-0020,7,0,1,0
2024-02-03,WH-EAST,PRD-0020,14,14,0,472
2024-02-04,WH-EAST,PRD-0020,15,15,0,457
2024-02-05,WH-EAST,PRD-0020,28,28,0,429
2024-02-06,WH-EAST,PRD-0020,24,24,0,405
2024-02-07,WH-EAST,PRD-0020,8,8,0,397
2024-02-08,WH-EAST,PRD-0020,12,12,0,385
2024-02-09,WH-EAST,PRD-0020,5,5,0,380
2024-02-10,WH-EAST,PRD-0020,10,10,0,370
2024-02-11,WH-EAST,PRD-0020,15,15,0,355
2024-02-12,WH-EAST,PRD-0020,20,20,0,335
2024-02-13,WH-EAST,PRD-0020,9,9,0,326
2024-02-14,WH-EAST,PRD-0020,10,10,0,316
2024-02-15,WH-EAST,PRD-0020,1,1,0,315
2024-02-16,WH-EAST,PRD-0020,12,12,0,303
2024-02-17,WH-EAST,PRD-0020,7,7,0,296
2024-02-18,WH-EAST,PRD-0020,10,10,0,286
2024-02-19,WH-EAST,PRD-0020,8,8,0,278
2024-02-20,WH-EAST,PRD-0020,13,13,0,265
2024-02-21,WH-EAST,PRD-0020,3,3,0,262
2024-02-22,WH-EAST,PRD-0020,5,5,0,257
2024-02-23,WH-EAST,PRD-0020,26,26,0,231
2024-02-24,WH-EAST,PRD-0020,6,6,0,225
2024-02-25,WH-EAST,PRD-0020,7,7,0,218
2024-02-26,WH-EAST,PRD-0020,24,24,0,194
2024-02-27,WH-EAST,PRD-0020,30,30,0,164
2024-02-28,WH-EAST,PRD-0020,7,7,0,157
2024-02-29,WH-EAST,PRD-0020,11,11,0,146
2024-03-01,WH-EAST,PRD-0020,19,19,0,127
2024-03-02,WH-EAST,PRD-0020,15,15,0,112
2024-03-03,WH-EAST,PRD-0020,21,21,0,91
2024-03-04,WH-EAST,PRD-0020,19,19,0,72
2024-03-05,WH-EAST,PRD-0020,15,15,0,57
2024-03-06,WH-EAST,PRD-0020,16,16,0,41
2024-03-07,WH-EAST,PRD-0020,9,9,0,32
2024-03-08,WH-EAST,PRD-0020,15,15,0,17
2024-03-09,WH-EAST,PRD-0020,15,15,0,2
2024-03-10,WH-EAST,PRD-0020,18,2,1,0
2024-03-11,WH-EAST,PRD-0020,13,0,1,0
2024-03-12,WH-EAST,PRD-0020,19,0,1,0
2024-03-13,WH-EAST,PRD-0020,23,0,1,0
2024-03-14,WH-EAST,PRD-0020,18,0,1,0
2024-03-15,WH-EAST,PRD-0020,19,0,1,0
2024-03-16,WH-EAST,PRD-0020,17,0,1,0
2024-03-17,WH-EAST,PRD-0020,17,0,1,0
2024-03-18,WH-EAST,PRD-0020,12,0,1,0
2024-03-19,WH-EAST,PRD-0020,19,0,1,0
2024-03-20,WH-EAST,PRD-0020,16,0,1,0
2024-03-21,WH-EAST,PRD-0020,29,0,1,0
2024-03-22,WH-EAST,PRD-0020,26,0,1,0
2024-03-23,WH-EAST,PRD-0020,19,0,1,0
2024-03-24,WH-EAST,PRD-0020,12,0,1,0
2024-03-25,WH-EAST,PRD-0020,10,0,1,0
2024-03-26,WH-EAST,PRD-0020,24,24,0,462
2024-03-27,WH-EAST,PRD-0020,18,18,0,444
2024-03-28,WH-EAST,PRD-0020,20,20,0,424
2024-03-29,WH-EAST,PRD-0020,7,7,0,417
2024-03-30,WH-EAST,PRD-0020,22,22,0,395
2024-03-31,WH-EAST,PRD-0020,19,19,0,376
2024-04-01,WH-EAST,PRD-0020,10,10,0,366
2024-04-02,WH-EAST,PRD-0020,14,14,0,352
2024-04-03,WH-EAST,PRD-0020,18,18,0,334
2024-04-04,WH-EAST,PRD-0020,17,17,0,317
2024-04-05,WH-EAST,PRD-0020,15,15,0,302
2024-04-06,WH-EAST,PRD-0020,16,16,0,286
2024-04-07,WH-EAST,PRD-0020,15,15,0,271
2024-04-08,WH-EAST,PRD-0020,18,18,0,253
2024-04-09,WH-EAST,PRD-0020,25,25,0,228
2024-04-10,WH-EAST,PRD-0020,2,2,0,226
2024-04-11,WH-EAST,PRD-0020,15,15,0,211
2024-04-12,WH-EAST,PRD-0020,18,18,0,193
2024-04-13,WH-EAST,PRD-0020,18,18,0,175
2024-04-14,WH-EAST,PRD-0020,15,15,0,160
2024-04-15,WH-EAST,PRD-0020,6,6,0,154
2024-04-16,WH-EAST,PRD-0020,19,19,0,135
2024-04-17,WH-EAST,PRD-0020,27,27,0,108
2024-04-18,WH-EAST,PRD-0020,22,22,0,86
2024-04-19,WH-EAST,PRD-0020,15,15,0,71
2024-04-20,WH-EAST,PRD-0020,16,16,0,55
2024-04-21,WH-EAST,PRD-0020,11,11,0,44
2024-04-22,WH-EAST,PRD-0020,15,15,0,29
2024-04-23,WH-EAST,PRD-0020,24,24,0,5
2024-04-24,WH-EAST,PRD-0020,20,5,1,0
2024-04-25,WH-EAST,PRD-0020,27,0,1,0
2024-04-26,WH-EAST,PRD-0020,24,0,1,0
2024-04-27,WH-EAST,PRD-0020,19,0,1,0
2024-04-28,WH-EAST,PRD-0020,27,0,1,0
2024-04-29,WH-EAST,PRD-0020,19,0,1,0
2024-04-30,WH-EAST,PRD-0020,22,0,1,0
2024-05-01,WH-EAST,PRD-0020,15,0,1,0
2024-05-02,WH-EAST,PRD-0020,17,0,1,0
2024-05-03,WH-EAST,PRD-0020,13,0,1,0
2024-05-04,WH-EAST,PRD-0020,22,0,1,0
